,0,1
336,0,2
337,3,3
338,0,0
339,1,1
340,0,0
341,1,0
342,1,1
343,0,0
344,3,3
345,2,2
346,2,1
347,3,3
348,2,2
349,3,2
350,1,2
351,3,3
352,3,3
353,2,1
354,1,1
355,1,1
356,2,1
357,1,1
358,2,2
359,0,0
360,0,0
361,2,2
362,0,0
363,1,0
364,2,1
365,3,3
366,2,2
367,0,0
368,1,2
369,1,1
370,2,2
371,3,3
372,0,0
373,2,1
374,1,0
375,0,0
376,1,1
377,2,3
378,2,2
379,2,2
380,1,1
381,0,0
382,0,0
383,1,1
384,1,1
385,3,3
386,1,1
387,2,1
388,3,3
389,2,2
390,0,0
391,0,1
392,3,3
393,1,1
394,2,2
395,1,1
396,2,2
397,1,1
398,0,0
399,1,1
400,3,3
401,2,2
402,0,0
403,0,0
404,0,0
405,2,1
406,0,2
407,2,2
408,3,2
409,0,1
410,0,0
411,0,0
412,1,1
413,1,1
414,3,3
415,3,3
416,2,2
417,3,3
418,0,0
419,0,1
420,1,0
421,3,3
422,1,1
423,3,3
424,3,3
425,0,0
426,2,3
427,0,1
428,2,2
429,2,2
430,3,3
431,0,0
432,1,2
433,2,2
434,1,2
435,3,3
436,3,3
437,2,3
438,2,2
439,0,0
440,0,0
441,0,0
442,2,2
443,3,3
444,3,3
445,2,3
446,2,2
447,0,0
448,3,2
449,1,2
450,2,2
451,3,3
452,0,0
453,1,1
454,1,1
455,3,3
456,3,3
457,2,2
458,2,2
459,2,2
460,1,1
461,1,2
462,2,2
463,3,3
464,2,1
465,3,3
466,2,2
467,2,2
468,2,2
469,0,0
470,1,1
471,1,1
472,1,2
473,2,3
474,1,2
475,2,2
476,0,1
477,1,0
478,1,1
479,1,0
480,2,2
481,0,0
482,1,1
483,2,2
484,0,1
485,3,3
486,1,1
487,0,0
488,0,0
489,2,3
490,1,0
491,1,1
492,2,2
493,2,2
494,1,2
495,2,2
496,2,2
497,0,0
498,2,1
499,2,1
500,2,2
501,3,3
502,1,2
503,1,1
504,2,2
505,1,3
506,2,1
507,2,1
508,0,0
509,0,0
510,2,2
511,2,2
512,2,2
513,2,2
514,1,2
515,0,1
516,3,2
517,3,3
518,3,2
519,3,3
520,2,2
521,2,2
522,1,1
523,2,1
524,2,2
525,3,3
526,2,2
527,1,1
528,3,3
529,2,3
530,0,0
531,1,2
532,2,2
533,1,1
534,0,0
535,1,2
536,2,2
537,2,3
538,3,2
539,0,1
540,2,2
541,3,3
542,0,0
543,1,1
544,0,2
545,0,0
546,1,1
547,0,0
548,1,1
549,1,1
550,3,3
551,0,0
552,3,3
553,0,1
554,0,0
555,0,0
556,1,1
557,1,1
558,1,1
559,1,1
560,0,0
561,3,3
562,1,1
563,3,3
564,1,1
565,3,3
566,1,0
567,0,0
568,0,2
569,2,3
570,1,1
571,2,1
572,1,1
573,2,2
574,1,2
575,0,1
576,2,1
577,0,1
578,3,3
579,2,2
580,2,2
581,2,1
582,0,0
583,3,2
584,2,2
585,2,1
586,1,1
587,3,3
588,2,2
589,3,3
590,2,1
591,1,1
592,2,2
593,1,0
594,0,0
595,3,3
596,2,1
597,1,1
598,0,0
599,2,1
600,0,0
601,2,1
602,3,3
603,1,2
604,1,1
605,0,0
606,2,1
607,1,2
608,2,2
609,1,1
610,1,0
611,1,2
612,1,1
613,1,0
614,2,2
615,3,3
616,1,1
617,0,0
618,2,1
619,0,0
620,2,2
621,3,3
622,2,2
623,1,1
624,2,3
625,3,3
626,1,1
627,3,3
628,1,1
629,2,2
630,2,2
631,1,2
632,0,1
633,2,2
634,0,0
635,1,1
636,2,1
637,2,1
638,0,0
639,1,2
640,0,0
641,3,3
642,3,3
643,0,0
644,2,2
645,2,1
646,0,0
647,3,3
648,1,2
649,3,3
650,3,2
651,1,1
652,2,2
653,2,1
654,0,0
655,0,0
656,0,0
657,2,2
658,3,3
659,0,0
660,0,1
661,3,2
662,2,2
663,2,3
664,2,2
665,0,1
666,0,0
667,2,3
668,0,0
669,2,1
670,2,2
671,2,2
672,0,1
673,3,3
674,3,2
675,2,2
676,2,2
677,3,3
678,2,2
679,1,2
680,2,3
681,3,3
682,2,2
683,1,1
684,0,0
685,1,2
686,0,0
687,1,1
688,2,2
689,1,1
690,0,0
691,2,2
692,3,3
693,0,0
694,3,3
695,0,0
696,2,2
697,2,2
698,2,2
699,2,2
700,3,3
701,1,0
702,1,1
703,2,2
704,1,0
705,0,0
706,0,0
707,0,1
708,3,3
709,2,2
710,0,0
711,3,3
712,0,0
713,2,2
714,1,1
715,0,0
716,2,2
717,1,1
718,3,3
719,1,1
720,2,2
721,1,0
722,1,1
723,2,2
724,0,0
725,0,0
726,2,2
727,3,3
728,2,3
729,0,0
730,2,3
731,1,2
732,2,2
733,3,3
734,1,1
735,1,1
736,3,3
737,3,3
738,3,3
739,3,2
740,3,3
741,1,1
742,1,2
743,2,2
744,3,3
745,1,0
746,0,0
747,1,2
748,2,2
749,3,3
750,2,1
751,1,2
752,1,1
753,3,2
754,1,0
755,2,2
756,1,2
757,2,2
758,2,2
759,2,2
760,1,1
761,2,2
762,1,0
763,3,3
764,0,0
765,3,3
766,3,3
767,0,0
768,3,3
769,1,2
770,3,3
771,1,1
772,2,2
773,0,0
774,1,2
775,2,2
776,2,1
777,0,1
778,2,2
779,1,1
780,0,0
781,0,0
782,0,0
783,2,2
784,3,3
785,1,2
786,2,2
787,2,1
788,1,1
789,3,3
790,2,2
791,2,1
792,0,0
793,3,2
794,1,0
795,2,2
796,3,3
797,2,2
798,1,1
799,2,2
800,1,1
801,0,0
802,0,1
803,2,1
804,0,0
805,0,0
806,3,3
807,2,2
808,0,0
809,2,2
810,0,0
811,1,1
812,0,0
813,0,1
814,3,2
815,0,0
816,2,2
817,0,1
818,1,1
819,3,2
820,1,2
821,2,2
822,2,2
823,2,2
824,2,2
825,3,2
826,3,3
827,3,3
828,2,1
829,3,3
830,0,0
831,1,1
832,1,1
833,1,1
834,2,2
835,1,1
836,0,1
837,0,0
838,2,1
839,3,3
840,3,3
841,1,1
842,1,0
843,1,1
844,1,2
845,1,1
846,1,1
847,3,3
848,1,1
849,2,3
850,0,0
851,2,2
852,0,0
853,0,1
854,0,0
855,2,2
856,0,0
857,2,2
858,0,1
859,0,0
860,3,3
861,0,0
862,1,2
863,1,2
864,0,0
865,2,2
866,1,1
867,3,3
868,1,0
869,2,2
870,3,3
871,3,3
872,2,2
873,1,2
874,2,2
875,3,3
876,3,2
877,2,2
878,1,1
879,2,1
880,3,3
881,3,3
882,1,2
883,2,2
884,1,1
885,3,3
886,3,3
887,1,1
888,2,2
889,2,1
890,2,2
891,1,0
892,0,0
893,0,1
894,2,2
895,2,3
896,0,0
897,1,2
898,1,1
899,3,3
900,1,0
901,2,1
902,0,0
903,0,1
904,3,3
905,3,3
906,0,0
907,0,0
908,2,2
909,1,1
910,0,0
911,0,0
912,2,2
913,3,2
914,3,3
915,1,3
916,1,1
917,1,1
918,3,2
919,3,2
920,3,3
921,0,0
922,3,2
923,0,0
924,1,1
925,0,0
926,2,2
927,1,1
928,2,2
929,2,3
930,0,0
931,1,2
932,1,1
933,0,0
934,2,3
935,2,2
936,3,3
937,2,1
938,2,1
939,0,1
940,0,0
941,3,3
942,0,1
943,3,3
944,2,2
945,1,1
946,2,1
947,1,1
948,0,1
949,3,3
950,3,3
951,3,3
952,2,1
953,0,0
954,2,1
955,1,1
956,0,0
957,1,1
958,3,3
959,0,0
960,1,2
961,2,1
962,0,1
963,3,3
964,2,2
965,2,1
966,3,2
967,0,1
968,1,1
969,2,1
970,2,2
971,2,2
972,3,2
973,1,0
974,3,3
975,3,3
976,3,2
977,0,0
978,3,2
979,0,0
980,3,2
981,2,2
982,2,1
983,0,0
984,2,2
985,1,2
986,0,0
987,3,3
988,3,3
989,3,3
990,0,0
991,2,2
992,0,0
993,2,2
994,0,1
995,3,3
996,3,3
997,0,1
998,1,1
999,2,2
1000,1,2
1001,3,3
1002,1,1
1003,0,0
1004,2,3
1005,0,0
1006,2,2
1007,0,0
1008,0,0
1009,3,3
1010,3,3
1011,2,1
1012,1,0
1013,1,1
1014,0,0
1015,1,1
1016,0,0
1017,3,3
1018,3,3
1019,0,0
1020,0,1
1021,1,1
1022,1,2
1023,1,2
1024,3,3
1025,3,2
1026,1,1
1027,3,3
1028,3,3
1029,1,2
1030,0,0
1031,0,0
1032,0,0
1033,0,1
1034,1,1
1035,2,2
1036,2,1
1037,1,1
1038,2,2
1039,3,3
1040,0,1
1041,2,2
1042,2,2
1043,1,1
1044,0,0
1045,3,3
1046,3,2
1047,3,3
1048,2,2
1049,2,2
1050,2,2
1051,1,2
1052,0,0
1053,1,1
1054,1,1
1055,1,1
1056,3,3
1057,0,0
1058,0,0
1059,0,0
1060,2,1
1061,3,3
1062,2,1
1063,2,2
1064,1,0
1065,0,1
1066,0,0
1067,0,0
1068,2,2
1069,0,0
1070,3,3
1071,3,3
1072,0,0
1073,1,0
1074,2,2
1075,2,2
1076,2,1
1077,2,2
1078,1,1
1079,1,0
1080,3,2
1081,2,1
1082,3,3
1083,1,2
1084,0,0
1085,2,2
1086,3,3
1087,2,1
1088,1,1
1089,0,0
1090,0,1
1091,0,0
1092,2,1
1093,1,1
1094,1,2
1095,1,1
1096,0,0
1097,3,3
1098,3,3
1099,2,2
1100,1,1
1101,1,2
1102,2,1
1103,2,1
1104,0,0
1105,1,2
1106,1,1
1107,0,0
1108,1,1
1109,0,0
1110,1,1
1111,3,3
1112,0,0
1113,1,2
1114,0,0
1115,1,1
1116,2,1
1117,0,0
1118,0,0
1119,2,2
1120,1,1
1121,3,3
1122,2,1
1123,2,2
1124,3,3
1125,0,0
1126,0,0
1127,1,1
1128,1,1
1129,2,2
1130,3,3
1131,0,0
1132,1,3
1133,1,1
1134,1,1
1135,0,0
1136,2,2
1137,2,1
1138,1,0
1139,3,3
1140,2,3
1141,1,1
1142,3,3
1143,0,1
1144,1,2
1145,3,2
1146,3,3
1147,2,2
1148,3,3
1149,2,2
1150,3,3
1151,2,2
1152,2,1
1153,3,3
1154,2,2
1155,0,0
1156,0,0
1157,2,2
1158,0,0
1159,2,3
1160,0,0
1161,0,0
1162,0,0
1163,1,2
1164,3,3
1165,1,0
1166,2,2
1167,2,2
1168,2,2
1169,1,1
1170,3,3
1171,1,2
1172,0,1
1173,0,0
1174,0,0
1175,1,0
1176,1,1
1177,2,2
1178,1,2
1179,2,3
1180,2,2
1181,0,0
1182,2,1
1183,2,2
1184,3,3
1185,1,1
1186,2,2
1187,1,1
1188,0,0
1189,3,3
1190,2,2
1191,2,2
1192,2,1
1193,3,2
1194,1,0
1195,1,1
1196,1,2
1197,1,0
1198,2,1
1199,1,1
1200,1,2
1201,3,3
1202,2,2
1203,2,1
1204,3,3
1205,2,2
1206,0,0
1207,0,0
1208,0,1
1209,2,1
1210,3,3
1211,1,2
1212,1,1
1213,2,2
1214,2,2
1215,0,0
1216,2,1
1217,0,0
1218,3,2
1219,2,1
1220,3,3
1221,2,3
1222,1,1
1223,2,2
1224,0,0
1225,3,2
1226,1,1
1227,1,1
1228,2,2
1229,3,2
1230,2,2
1231,2,2
1232,1,1
1233,0,0
1234,1,2
1235,0,0
1236,2,2
1237,0,0
1238,1,0
1239,0,0
1240,3,3
1241,0,0
1242,0,0
1243,3,3
1244,2,2
1245,2,2
1246,3,3
1247,2,2
1248,2,1
1249,2,3
1250,3,3
1251,1,2
1252,2,2
1253,0,0
1254,0,0
1255,2,1
1256,2,2
1257,3,3
1258,2,2
1259,2,3
1260,1,1
1261,0,1
1262,0,0
1263,0,0
1264,1,3
1265,1,1
1266,0,0
1267,1,2
1268,3,2
1269,2,2
1270,3,3
1271,1,1
1272,2,2
1273,2,2
1274,3,3
1275,0,1
1276,1,1
1277,3,2
1278,2,2
1279,1,2
1280,3,3
1281,0,0
1282,0,0
1283,1,2
1284,1,1
1285,1,1
1286,1,1
1287,3,2
1288,1,1
1289,2,1
1290,0,1
1291,0,1
1292,2,1
1293,2,2
1294,0,0
1295,1,1
1296,3,3
1297,2,2
1298,2,2
1299,2,2
1300,1,1
1301,2,2
1302,0,0
1303,0,0
1304,2,2
1305,2,2
1306,2,2
1307,2,1
1308,0,0
1309,3,2
1310,3,2
1311,2,2
1312,1,1
1313,3,3
1314,0,0
1315,3,3
1316,3,3
1317,3,3
1318,0,0
1319,3,3
1320,2,1
1321,2,2
1322,0,1
1323,3,3
1324,3,3
1325,1,0
1326,2,2
1327,2,1
1328,2,3
1329,0,1
1330,1,1
1331,3,2
1332,0,1
1333,0,2
1334,1,1
1335,3,3
1336,2,2
1337,2,2
1338,2,2
1339,2,2
1340,0,0
1341,2,2
1342,0,0
1343,1,0
1344,1,1
1345,1,1
1346,0,1
1347,2,2
1348,0,1
1349,1,1
1350,2,2
1351,2,2
1352,1,1
1353,0,1
1354,2,2
1355,1,1
1356,2,2
1357,2,2
1358,2,2
1359,0,0
1360,2,3
1361,3,3
1362,1,2
1363,2,1
1364,0,0
1365,0,0
1366,1,2
1367,0,0
1368,0,0
1369,1,0
1370,0,1
1371,1,1
1372,1,1
1373,0,1
1374,2,2
1375,2,2
1376,2,2
1377,3,3
1378,1,1
1379,0,0
1380,2,3
1381,2,2
1382,3,3
1383,2,1
1384,2,2
1385,0,0
1386,1,1
1387,0,0
1388,1,2
1389,2,2
1390,0,0
1391,1,0
1392,0,1
1393,2,2
1394,3,3
1395,2,2
1396,2,2
1397,3,3
1398,0,0
1399,3,3
1400,3,3
1401,0,0
1402,1,1
1403,2,2
1404,3,2
1405,2,2
1406,2,1
1407,1,2
1408,0,0
1409,0,0
1410,2,1
1411,3,3
1412,2,2
1413,1,1
1414,2,2
1415,2,2
1416,1,1
1417,3,3
1418,3,3
1419,3,1
1420,1,1
1421,3,3
1422,2,2
1423,0,0
1424,1,2
1425,3,2
1426,1,0
1427,0,0
1428,3,3
1429,1,1
1430,2,2
1431,3,3
1432,1,0
1433,0,0
1434,1,1
1435,3,3
1436,0,0
1437,3,3
1438,0,0
1439,2,2
1440,2,2
1441,3,3
1442,1,1
1443,1,1
1444,2,1
1445,3,3
1446,2,2
1447,3,3
1448,0,1
1449,1,1
1450,0,0
1451,1,2
1452,0,1
1453,3,3
1454,0,1
1455,1,1
1456,3,3
1457,0,0
1458,1,1
1459,2,2
1460,2,2
1461,3,2
1462,2,1
1463,2,3
1464,2,2
1465,1,1
1466,1,1
1467,0,0
1468,2,2
1469,3,3
1470,2,2
1471,1,0
1472,2,2
1473,3,3
1474,2,2
1475,0,0
1476,2,2
1477,0,1
1478,1,2
1479,2,2
1480,2,3
1481,3,3
1482,0,0
1483,2,2
1484,1,1
1485,2,2
1486,0,0
1487,0,0
1488,1,2
1489,2,2
1490,3,3
1491,0,0
1492,0,1
1493,1,1
1494,2,2
1495,2,2
1496,3,2
1497,1,0
1498,3,3
1499,2,1
1500,2,1
1501,2,2
1502,2,3
1503,0,1
1504,1,1
1505,0,1
1506,3,3
1507,3,3
1508,3,2
1509,0,0
1510,2,2
1511,1,2
1512,0,1
1513,2,1
1514,2,2
1515,2,1
1516,2,2
1517,2,3
1518,3,3
1519,3,3
1520,0,0
1521,2,2
1522,2,1
1523,0,0
1524,2,2
1525,0,0
1526,1,0
1527,3,3
1528,2,1
1529,2,1
1530,1,1
1531,3,3
1532,2,2
1533,1,1
1534,3,3
1535,1,1
1536,3,3
1537,0,0
1538,3,3
1539,0,0
1540,0,0
1541,0,0
1542,0,0
1543,1,1
1544,2,1
1545,2,2
1546,0,0
1547,1,2
1548,0,0
1549,2,2
1550,1,0
1551,1,2
1552,2,1
1553,0,0
1554,1,0
1555,2,2
1556,3,3
1557,0,0
1558,1,2
1559,0,0
1560,0,0
1561,0,1
1562,2,1
1563,1,1
1564,3,3
1565,0,1
1566,1,0
1567,2,2
1568,2,1
1569,1,1
1570,0,0
1571,0,1
1572,3,3
1573,0,0
1574,1,1
1575,2,2
1576,0,0
1577,1,0
1578,3,3
1579,3,3
1580,0,0
1581,0,1
1582,0,0
1583,1,1
1584,2,1
1585,0,0
1586,0,1
1587,3,3
1588,2,2
1589,0,0
1590,0,0
1591,3,2
1592,0,0
1593,1,0
1594,2,2
1595,3,3
1596,1,0
1597,2,1
1598,1,1
1599,2,3
1600,3,3
1601,3,3
1602,2,2
1603,0,0
1604,0,0
1605,0,0
1606,3,3
1607,0,1
1608,1,1
1609,2,1
1610,2,2
1611,3,3
1612,3,3
1613,2,2
1614,3,2
1615,3,3
1616,1,1
1617,1,0
1618,0,0
1619,2,2
1620,2,2
1621,1,1
1622,0,0
1623,1,0
1624,2,1
1625,0,0
1626,2,2
1627,3,3
1628,0,0
1629,1,0
1630,0,0
1631,1,1
1632,1,1
1633,1,2
1634,3,3
1635,1,3
1636,3,2
1637,0,0
1638,3,2
1639,3,3
1640,2,2
1641,2,2
1642,1,1
1643,2,3
1644,1,2
1645,2,1
1646,1,2
1647,3,3
1648,1,1
1649,1,1
1650,3,3
1651,1,1
1652,0,1
1653,1,1
1654,0,0
1655,2,2
1656,1,2
1657,2,2
1658,2,2
1659,0,0
1660,0,1
1661,3,2
1662,3,3
1663,2,2
1664,1,1
1665,1,1
1666,0,0
1667,3,3
1668,1,1
1669,0,0
1670,2,2
1671,2,1
1672,0,0
1673,2,2
1674,3,3
1675,2,2
1676,1,2
1677,0,0
1678,3,2
1679,0,0
1680,1,1
1681,3,2
1682,2,2
1683,3,3
1684,1,1
1685,2,1
1686,1,2
1687,3,3
1688,0,0
1689,1,1
1690,3,3
1691,1,1
1692,2,2
1693,2,2
1694,0,1
1695,3,3
1696,1,1
1697,1,1
1698,0,0
1699,2,2
1700,0,0
1701,1,1
1702,1,2
1703,3,3
1704,0,0
1705,1,2
1706,3,3
1707,2,3
1708,3,2
1709,3,3
1710,3,3
1711,1,1
1712,2,2
1713,2,2
1714,2,2
1715,2,2
1716,3,3
1717,0,1
1718,1,1
1719,3,3
1720,0,1
1721,1,1
1722,3,3
1723,0,0
1724,1,2
1725,2,2
1726,1,0
1727,0,0
1728,2,2
1729,3,2
1730,3,2
1731,3,2
1732,3,3
1733,1,1
1734,0,0
1735,1,1
1736,2,2
1737,0,0
1738,2,2
1739,0,1
1740,1,2
1741,2,1
1742,1,1
1743,2,2
1744,1,1
1745,3,3
1746,2,3
1747,2,2
1748,2,2
1749,3,2
1750,2,3
1751,2,2
1752,2,2
1753,1,1
1754,3,3
1755,1,1
1756,1,1
1757,0,1
1758,2,2
1759,1,1
1760,2,1
1761,2,2
1762,2,2
1763,3,3
1764,0,0
1765,1,1
1766,2,2
1767,3,2
1768,1,2
1769,3,3
1770,0,0
1771,2,1
1772,3,3
1773,1,1
1774,2,2
1775,1,1
1776,3,3
1777,2,2
1778,0,0
1779,3,3
1780,1,1
1781,3,3
1782,0,0
1783,3,3
1784,2,2
1785,3,3
1786,0,0
1787,1,2
1788,3,3
1789,3,3
1790,2,2
1791,0,0
1792,1,1
1793,3,2
1794,1,1
1795,0,0
1796,2,3
1797,1,1
1798,1,2
1799,2,1
1800,0,0
1801,3,3
1802,2,1
1803,2,2
1804,2,1
1805,0,1
1806,0,0
1807,2,2
1808,2,2
1809,0,0
1810,0,0
1811,2,2
1812,0,0
1813,1,1
1814,2,2
1815,1,2
1816,0,0
1817,1,2
1818,2,2
1819,1,2
1820,0,0
1821,0,1
1822,1,0
1823,2,2
1824,3,2
1825,1,2
1826,3,2
1827,2,2
1828,2,2
1829,1,1
1830,2,2
1831,2,1
1832,0,0
1833,3,3
1834,0,0
1835,2,3
1836,1,0
1837,3,2
1838,0,0
1839,2,3
1840,3,3
1841,2,1
1842,2,2
1843,0,0
1844,2,3
1845,1,0
1846,3,3
1847,2,0
1848,2,2
1849,0,0
1850,1,2
1851,0,0
1852,0,0
1853,2,2
1854,0,1
1855,1,2
1856,1,1
1857,2,2
1858,0,0
1859,2,2
1860,2,2
1861,2,1
1862,1,1
1863,0,0
1864,3,2
1865,0,1
1866,0,0
1867,0,0
1868,2,2
1869,0,1
1870,1,1
1871,3,2
1872,3,2
1873,0,0
1874,2,2
1875,3,3
1876,1,2
1877,2,1
1878,0,0
1879,0,1
1880,0,0
1881,2,2
1882,1,2
1883,3,2
1884,0,0
1885,0,0
1886,2,1
1887,3,3
1888,0,0
1889,3,2
1890,3,3
1891,2,2
1892,0,1
1893,1,1
1894,1,1
1895,1,1
1896,3,2
1897,3,2
1898,1,0
1899,2,1
1900,3,3
1901,2,3
1902,1,1
1903,3,3
1904,2,2
1905,1,2
1906,3,3
1907,2,2
1908,0,0
1909,0,0
1910,0,1
1911,3,3
1912,0,1
1913,2,2
1914,0,0
1915,1,2
1916,1,2
1917,2,2
1918,1,2
1919,3,3
1920,1,1
1921,1,1
1922,3,3
1923,3,2
1924,2,2
1925,0,0
1926,1,2
1927,3,2
1928,2,2
1929,3,3
1930,3,3
1931,2,2
1932,2,1
1933,0,0
1934,1,1
1935,2,2
1936,3,3
1937,1,1
1938,3,3
1939,2,3
1940,0,1
1941,2,3
1942,1,1
1943,1,2
1944,1,1
1945,3,3
1946,0,1
1947,0,0
1948,2,2
1949,2,2
1950,3,2
1951,0,0
1952,0,1
1953,1,1
1954,0,1
1955,2,2
1956,3,2
1957,1,1
1958,3,3
1959,3,3
1960,2,1
1961,0,1
1962,1,1
1963,2,2
1964,0,0
1965,2,2
1966,1,1
1967,2,2
1968,3,2
1969,2,2
1970,3,3
1971,0,0
1972,2,2
1973,0,0
1974,0,0
1975,2,2
1976,3,3
1977,2,2
1978,0,0
1979,2,2
1980,2,2
1981,3,3
1982,1,1
1983,1,2
1984,0,0
1985,3,3
1986,3,3
1987,2,1
1988,2,2
1989,3,3
1990,1,1
1991,3,3
1992,1,1
1993,0,0
1994,0,0
1995,1,1
1996,2,2
1997,2,1
1998,0,0
1999,1,1
2000,2,2
2001,1,2
2002,1,1
2003,3,2
2004,1,1
2005,2,0
2006,2,2
2007,3,3
2008,3,3
2009,3,2
2010,3,3
2011,2,2
2012,0,1
2013,2,2
2014,1,2
2015,3,3
2016,1,1
2017,0,0
2018,1,1
2019,2,2
2020,1,1
2021,1,1
2022,0,0
2023,3,3
2024,1,0
2025,2,2
2026,1,0
2027,0,0
2028,2,3
2029,0,0
2030,2,2
2031,3,2
2032,0,1
2033,0,0
2034,1,2
2035,1,0
2036,2,1
2037,3,2
2038,3,2
2039,1,1
2040,1,1
2041,0,0
2042,0,1
2043,2,3
2044,3,2
2045,0,0
2046,2,2
2047,2,2
2048,0,1
2049,3,3
2050,0,0
2051,0,1
2052,1,1
2053,1,1
2054,0,0
2055,0,0
2056,3,3
2057,0,0
2058,0,0
2059,2,2
2060,3,3
2061,1,0
2062,1,2
2063,3,3
2064,1,1
2065,1,1
2066,2,2
2067,2,2
2068,0,1
2069,1,1
2070,1,2
2071,3,3
2072,2,2
2073,2,2
2074,3,3
2075,0,0
2076,2,1
2077,3,3
2078,1,0
2079,2,2
2080,1,2
2081,2,1
2082,3,3
2083,2,1
2084,1,0
2085,3,3
2086,1,1
2087,1,2
2088,3,3
2089,1,2
2090,2,1
2091,2,1
2092,0,0
2093,2,2
2094,0,1
2095,1,1
2096,2,2
2097,3,3
2098,1,1
2099,2,2
2100,2,2
2101,2,3
2102,3,3
2103,3,3
2104,0,1
2105,2,1
2106,0,0
2107,1,1
2108,2,2
2109,1,0
2110,3,3
2111,3,3
2112,0,2
2113,0,0
2114,1,1
2115,1,1
2116,2,2
2117,1,1
2118,3,3
2119,0,1
2120,1,1
2121,2,1
2122,0,0
2123,1,1
2124,3,3
2125,2,2
2126,1,0
2127,2,3
2128,3,3
2129,2,2
2130,3,3
2131,0,0
2132,1,1
2133,1,1
2134,1,1
2135,2,2
2136,1,2
2137,1,1
2138,1,2
2139,1,3
2140,2,1
